,reviewContent,label
0,small it wont work for the car,real
1,very satisfied with the product it is really quite strong only bad point is that it doe not turn on any light during the batts carrageway to know if the load is complete with wonderful rest i recommend,real
2,very satisfied with this little vacuum,real
3,just a bomb work like a hurricane,real
4,this thing is a monster worth every coin,real
5,thank you i will be using and remaining,real
6,very good car indoor cleaning and keyboard window sill cleaning,real
7,thank you for shipping everything a described,real
8,very good product who aspiers well i recommend,real
9,good put on charge,real
10,very satisfied it good,real
11,having seen the trohas of little sweat and a checkup for your own cat of norm,real
12,at the moment it work well let see how long it last when i charge it the first few minute of use smell a bit of burning,real
13,the product is not enough completatsya is ready such a a lot of wealth for their own rose it shortlived yakshshshsho pratsyu on the other hand the power of the shvidko sidav battery i took a shkduya from a bagatma with nozzle for me not to be practical such a the kupuvala iz with the doattovs of the hocha and one income so yak yogo nobna miti and vin easily and well,real
14,thanks so much,real
15,i checked it work,real
16,it is great a announced i arrived in perfect condition i really liked it,real
17,super second time ordered,real
18,it is good to carry out a quick cleaning where the carpet and upholstery doe not require greater power to remove dust and garbage and where it doe not require enough time to vacuum the battery doesnt last long but long enough to vacuum fast,real
19,i like the power of the little one,real
20,norm thing,real
21,good suction it is a costmoney cleaner,real
22,the suction power is very good,real
23,pretty good charge slow but great suction blow battery also last a while good quality,real
24,it good it working,real
25,it for cleaning the car but it not strong suction the wind blower function is strong,real
26,the order with the given description wa received the product will be evaluated and later an opinion or review will be given that it operation wa,real
27,i managed to write well,real
28,it work well,real
29,good product high price unhelpful seller i contacted him because the product suck but the blower function doesnt work and all the piece dont fit in the front mouth,real
30,the intensity of pumping is not strong at all a very average product of the box came to the mass beating,real
31,it quickly look good,real
32,not so strong and fast delivery part,real
33,not good and no power very cheap quality,real
34,received much plus late than expected,real
35,the good arrived damaged the dispute need to be sent at my expense the seller did not answer in the dispute at all,real
36,even if i charge all day it go off in 3 second can i exchange or refund,real
37,cool dust for car and computer the best enough power thank you great model,real
38,excellent product ha a cute design and is of good quality material seem to be good ha good absorption but not like a conventional vacuum cleaner but if it get you out of trouble when doing a job quickly it is also recommended,real
39,a nice product for an electrician a he found for cleaning switchgear for a car is also suitable loud due to high engine speed,real
40,ok but i would like to be more powerful,real
41,functional and vacuum cleaner and blower,real
42,the szuk product show the perfect combination of practical and design it is made of high quality material durable it stand out for it design which is an artificial design that is considered userconvenience increase the efficiency of daily life with various function with a stylish appearance the interior effect is also excellent it is a product with high satisfaction with purchase due to it excellent priceperformance ratio it a highly recommended item with szuks own innovative technology,real
43,shvidko came to saw it kt3 mode robot,real
44,thats too good i need one more,real
45,it very good thank you,real
46,the vacuum is good but it noisy,real
47,is it possible to be powerful while kissing like this,real
48,the suction is strong so it is good good,real
49,worked for 3 minute and doe not turn on anymore i do not advise taking,real
50,blow less than expected,real
