,reviewContent,sentiment
0,It's as sketched.,neutral
1,"The cause were sent dented, because they are poorly packed, in an ordinary thin bag. Why, when you send glasses, you pack them in babble cinema and in a cardboard box, but there are no cases? The route is long, the covers in such packages are very often deformed and crumpled, and they are not restored. Some sellers listen and pack in cartons, and you have a adventure.",negative
2,"It is not how much is in the photo, the quality of the product is abominable does not last",negative
3,Not sure if it can protect a phone considerably…,negative
4,"The garnum lawsuits is not too hoot. Wear a hottest bag in a jacket with a hood with a hood, all the people",neutral
5,"lovely and colourful 
will buy more",positive
6,"The color represent to the picture, the fasteners look reliable, but the lace itself is of dubious quality, there is a white base in the stead of tension.",negative
7,"Having taken on 12/27/24, having denied in Ukraine 13.01.25",neutral
8,"Very good quality, good price",positive
9,I haven’t recibe the bundle,neutral
10,"After submit away, being a upright thing, you can't keep your center on the phone. One-third of the changed, nizh for malyunka, and call not mi. And it is not sensory, but on the release at the nates of the screen. Not a year old, but a layout, for you don't visit...",negative
11,Came on the date said wirks fully,neutral
12,It doesn't delay the magnet so well.,negative
13,"Great quality cover, I see the difference in the buttons. I had a cheaper cover and it is in these details that we realize the care of ugreen in producing a good quality cover! Highly recommend!",positive
14,Didn't reaching me.,neutral
15,Took nearly a month to deliver and the purse is good . Happy with the product.,positive
16,good cover. fits description and as in the pictures. works well. hoever took very long to received but received full refund.  great,positive
17,"The order with the conferred description was received, the product will be evaluated and later an view or review will be given that its operation was.",neutral
18,Doesn't expect like the photo at all,negative
19,"It is thinner and smaller than I expected, it is comfortable but it lacks some support, you have to be careful with the close; For the price is alright",neutral
20,"Here's this light, just a songI advise the product and the salesman to buy",neutral
21,"I will mostly don't have time to dispatch it to you + Manal to Belin, so I bought it. I spent two hour and we won't spend two hours.",neutral
22,"Awesome bag! I call her an ""adult Hopper."" There is not a single pocket for vnturi. The bag has a solid bottom and a button closure. The handle is comfortable, holds well on the shoulder.
I really wanted this bag and now I am insanely happy! I like everything!",positive
23,"Came really fast and good material, I would definitely order again!",positive
24,"Ali products are now very good in quality. However, some sellers dazzle buyers with misleading information and manipulated inspecting with a minimum sales price of 1000 units, the scrutiny should be read well, primarily the reviews of Korean buyers. Korean reviews are also being manipulated, so if the review is in translation context, the manipulated revisiting must be filtered.",neutral
25,"Chokhol for silinikonovy is not slime. Metal Carabini, to filled out masivni. Lace coarse and regulated",neutral
26,"Perfect, cheap and precious and quite fast shipping",positive
27,Very cool!,positive
28,Find out about candor and credibility,neutral
29,Mid quality plastic is not hard but Selva in relation to the price reached within 9 days from making the order,neutral
30,"I would not try, I would telling you what I would likeThe remit is utterly thin and not hoary, the bottom is too thin to go without stands, well, the bag itself is thin",neutral
