review,sentiment,category,reference,prediction,Relevance (1-5),Fluency (1-5),Appropriateness (1-5),Comments / Errors
"Now video is a jahliva, you can't see the next thing. To go for this penny",neutral,electronics,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.",5,,,
"Whiglyadak Garno does not smell normal, the sets have more than 2 remishki",negative,automotive,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are constantly working to improve, so feel free to check out our other models.",5,,,
"Working fitness tracker. I contacted the phone after some dancing with a tambourine, because The QR code that was displayed on the screen was not read by the smartphone. In your own memory 5 screen options, everyone did not like it. The application offers even more 100 screen options, they didn't like everyone-some small and not contrasting. Offers to install any custom photo on the screen, but in this resolution-it sucks. And even any version of the screen periodically flies to the one that by default. There is no screen option like on the packaging box. But I would like to.
And you need to understand that the functions of the tonometer, Oximeter and even the thermometer are only to calm the user. Values are always around normal.",negative,health,Thank you for your detailed feedback! We appreciate your honesty and will work on improving the usability and customization options. Your input is very helpful.,"Thank you for your honest and detailed feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.",5,,,
The wallet is a little bit on a bigger side but hey. what more do you expect from the price. It's on a cheaper side but I go through wallets every few months. Atleast this won't cost me that much to replace.,neutral,fashion,"Thank you for your feedback! We appreciate your input, and we understand that the fashion item may not have fully met your expectations. We are always working to improve, so feel free to check out our other products.","Thank you for your feedback! We appreciate your honesty, and we understand that the fashion item may not have fully met your expectations. We are always working to improve, so feel free to check out our other products.",5,,,
"Excellent Product, I highly recommend to the seller the truth is that if you are looking for a case that meets your expectations, this case would be ideal. This beautiful and perfect fit in an IPHONE X.",positive,fashion,That sounds amazing! So happy the fit and design were spot onthanks for the great recommendation!,That's great to hear! Perfect fit and looks amazingthanks for the glowing recommendation!,5,,,
Like in the photo,neutral,automotive,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.",5,,,
While it works without problems,neutral,automotive,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your full expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your full expectations. We are always working to improve, so feel free to check out our other models.",5,,,
Beautiful pilosos. Sweaty. Delivery of Bule Duge Shvidkoi,positive,health,Thank you for your feedback! We are glad the product impressed youboth in appearance and speed. Your comments will help us maintain high quality and fast delivery.,Thank you for your feedback! We are glad the product impressed youboth in appearance and speed. Your comments will help us maintain high quality and fast delivery.,5,,,
"Working fitness tracker. I contacted the phone after some dancing with a tambourine, because The QR code that was displayed on the screen was not read by the smartphone. In your own memory 5 screen options, everyone did not like it. The application offers even more 100 screen options, they didn't like everyone-some small and not contrasting. Offers to install any custom photo on the screen, but in this resolution-it sucks. And even any version of the screen periodically flies to the one that by default. There is no screen option like on the packaging box. But I would like to.
And you need to understand that the functions of the tonometer, Oximeter and even the thermometer are only to calm the user. Values are always around normal.",negative,health,Thank you for your detailed feedback! We appreciate your honesty and will work on improving the usability and customization options. Your input is very helpful.,"Thank you for your honest and detailed feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.",5,,,
"Works, I can't deal with the sensors yet",neutral,automotive,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your full expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your full expectations. We are always working to improve, so feel free to check out our other models.",5,,,
Came in a very different color really from the fair,neutral,home,"Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.","Thank you for your feedback! We appreciate your input, and we understand that the product didn't meet your expectations. We are always working to improve, so feel free to check out our other models.",5,,,
"It is fabric if it is very thin, for the price would be better another option, very fragile and looks short life time",negative,automotive,"We appreciate your honesty and your feedback is noted. While the product may not have fully met your expectations, we understand that everyone has different preferences. We encourage you to check out our other models for better fit and performance.","We appreciate your honesty and your feedback is noted. While the product may not have fully met your expectations, we understand that everyone has different preferences. We encourage you to check out our other models for better performance and durability.",5,,,
"Didn't work out for my couch! I will sell or foar to someone who has a sofa that is compatible! The truth is, I couldn't get it on my couch!",negative,electronics,"We apologize for the inconvenience caused by the product not fitting your couch. We understand how frustrating that can be, and we will work on improving compatibility and clearer product descriptions.","We appreciate your honesty and your effort to make the product work. While we are sorry it didn't fit your sofa perfectly, we understand that compatibility is important. We will work on improving fit and clearer product descriptions.",5,,,
I made a good day of my own. I was like a good day and at the 2nd school Sable Sable,positive,fashion,That sounds like a great day! We love hearing when our products bring a smile and good vibes. Thanks for the awesome review and your support!,That sounds like a great way to spend the day! Thanks for the positive note and your creative spelling,5,,,
"Dropped my phone, protected my phone",neutral,fashion,"Thank you for your feedback! We appreciate your input, and we understand that the fashion item didn't meet your full expectations. We are always working to improve, so feel free to check out our other products.","Thank you for your feedback! We appreciate your input, and we understand that the fashion item didn't meet your full expectations. We are always working to improve, so feel free to check out our other products.",5,,,
"The product is all goodIt's a yaskrave, but it's not like it, with a clear-eyed thing, Bulo bi, we will reduce the variant ale she's like Maemo. I make sure the world, good and joyful life!",positive,electronics,Thanks for the detailed and enthusiastic review! We love hearing how well the product matched your expectations and brightened up your day.,Thanks for the detailed and enthusiastic review! We love hearing how well the product fits and how it makes your life better.,5,,,
